Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
314,D3," James, Jamillah and Margot Norton",Soft Water Hard Stone: 2021 New Museum Triennial,New York: New Museum; London: Phaidon Press,2021," ISBN-13: 9781838664039
ISBN-10: 1838664033",Exhibition catalogue Contemporary Art,," https://www.newmuseum. org/exhibitions/view/2021-triennial-soft-
water-hard-stone",,
315,D3," Derby, Doris",A Civil Rights Journey,London: MACK Books,2021," ISBN-13: 9781913620448
ISBN-10: 1913620441"," Photobook Photography Women artists
Civil Rights Movement
Includes small photo signed by the artist",,,,
316,D3," Rosenfeld, Michael, Jonathan P. Binstock and Lowery Stokes Sims",African American Art: 200 Years: 40 Distinctive Voices Reveal the Breadth of Nineteenth and Twentieth Century Art,New York: Michael Rosenfeld Gallery,2008," ISBN-13: 9781930416437
ISBN-10: 1930416431"," Exhibition catalogue
African American Art History",,https://www.michaelrosenfeldart. com/exhibitions/african-american-art- 200-years,,
317,D3," Summers, Barbara"," Skin deep: Inside the World of Black Fashion
Models",New York: Amistad Press,1998," ISBN-13: 9781567430318
ISBN-10: 1567430317"," Fashion
Style Photography
African American Models",,,,
318,D3," Marshall, Patricia Phillips and Jo Ramsay Leimenstoll",Thomas Day: Master Craftsman and Free Man of Color,Chapel Hill: University of North Carolina Press,2010,ISBN-13: 9780807833414 ISBN-10: 080783341X," Artist monograph Exhibition catalogue
African American Art History Craft and Decorative Arts Architecture",,https://americanart.si.edu/exhibitions/day,,
319,D3," Morris, Frances and Tiffany Bell, eds.",Agnes Martin,London: Tate Publishing; New York: D. A.P./Distributed Art Publishers Inc.,2015,ISBN-13: 9781938922763 ISBN-10: 193892276X,Artist monograph Exhbition catalogue Women artists Painting,,https://www.tate.org.uk/whats-on/tate- modern/agnes-martin,,
320,D3," Fajardo-Hill, Cecilia and Andrea Giunta"," Radical Women: Latin American Art, 1960- 1985"," Los Angeles: Hammer Museum, University of California, Los Angeles; Munich: DelMonico Books/Prestel",2017," ISBN-13: 9783791356808
ISBN-10: 3791356801"," Exhibition catalogue Women artists
Latin American Art
American Art",,https://hammer.ucla.edu/radical-women,,
321,D3," Enwezor, Okwui, ed.",Frank Bowling: Mappa Mundi,Munich: Haus der Kunst; Prestel,2017," ISBN-13: 9783791356587
ISBN-10: 3791356585"," Artist monograph Exhibition catalogue
Painting",," https://www.hausderkunst. de/en/exhibitions/frank-bowling-mappa-
mundi-1",,
322,D3," Rosen, Barry, ed."," Eva Hesse: Oberlin Drawings: Drawings in the
Collection of the Allen Memorial Art Museum, Oberlin College",New York: Hauser & Wirth Publishers,2019," ISBN-13: 9783906915395
ISBN-10: 3906915395"," Artist monograph
Women artists Drawing",," https://amam.oberlin.edu/exhibitions-
events/exhibitions/2022/02/22/forms- larger-and-bolder-eva-hesse-drawings",,
323,D3," Sussman, Elisabeth and Fred Wasserman",Eva Hesse: Sculpture,New York: Jewish Museum; New Haven: Yale University Press,2006," ISBN-13: 9780300114188
ISBN-10: 0300114184"," Artist monograph Exhbition catalogue Women artists
Sculpture",,https://thejewishmuseum. org/exhibitions/eva-hesse-sculpture,,
324,D1," Roberts, Veronica, ed.",Converging Lines: Eva Hesse and Sol LeWitt,New Haven: Yale University Press; Austin: Blanton Museum of Art,2014," ISBN-13: 9780300204827
ISBN-10: 0300204825",Exhibition catalogue Sculpture,,https://blantonmuseum. org/exhibition/converging-lines-eva- hesse-and-sol-lewitt/,,
325,D3," Oehler, Sarah Kelly and Esther
Adler, eds.",Charles White: A Retrospective," New York: Museum of Modern Art;
Chicago: Art Institute of Chicago; New Haven: Yale University Press",2018," ISBN-13: 9780300232981
ISBN-10: 0300232985"," Exhibition catalogue
Artist monograph
African American Art History",," https://www.artic.
edu/exhibitions/2663/charles-white-a- retrospective
https://www.moma. org/calendar/exhibitions/3930 https://www.lacma. org/art/exhibition/charles-white- retrospective",,
326,D3," Alley-Barnes, Maikoyio and Jo-Anne Birnie Danzker, eds."," Young Blood: Noah Davis, Kahlil Joseph, The Underground Museum",Seattle: Frye Art Museum,2016," ISBN-13: 9780988949577
ISBN-10: 0988949571"," Exhibition catalogue
African American Art History",," https://fryemuseum. org/exhibitions/young-blood-noah-davis-
kahlil-joseph-underground-museum",,
327,D3," Molesworth, Helen",Noah Davis,New York : David Zwirner Books; Los Angeles: The Underground Museum,2020," ISBN-13: 9781644230374
ISBN-10: 1644230372"," Artist monograph Exhibition catalogue
Painting",,https://www.davidzwirner. com/exhibitions/2020/noah-davis-2020,,
328,D3," Nooter, Mary H.",Secrecy: African Art that Conceals and Reveals,New York: The Museum for African Art; Munich: Prestel,1993," ISBN-13: 9780945802129
ISBN-10: 0945802129",Exhibition catalogue African Art,,,,
329,D3," Weissberg, Stephanie and Heather Alexis Smith",Terry Adkins: Resounding,St. Louis: Pulitzer Arts Foundation,2020," ISBN-13: 9781646570058
ISBN-10: 1646570057",Artist monograph Exhibition catalogue,,https://pulitzerarts.org/art/terry-adkins/,,
330,D3," Berry, Ian, ed.",Terry Adkins: Recital,Saratoga Springs: Frances Young Tang Teaching Museum and Art Gallery at Skidmore College; Munich: DelMonico Books/Prestel,2017,ISBN-13: 9783791352756 ISBN-10: 379135275X,Artist monograph Exhibition catalogue,,https://tang.skidmore. edu/exhibitions/62-terry-adkins-recital,,
331,D1," Thompson, Robert Farris, Bobby L. Lovett, Rusty Freeman, Judith McWillie, Grey Gundaker, and
Lowery Stokes Sims",The Art of William Edmondson,Nashville: Cheekwood Museum of Art; Jackson: University Press of Mississippi,1999," ISBN-13: 9781578061815
ISBN-10: 1578061814",Artist monograph Exhibition catalogue,,,,
332," Not on shelf;
with Kilolo"," Buchhart, Dieter and Eleanor
Nairne with Lotte Johnson, eds.",Basquiat: Boom for Real,Munich; London: Prestel,2020," ISBN-13: 9783791359502
ISBN-10: 3791359509"," Artist monograph
Exhibition catalogue",," https://www.barbican.org.uk/whats-
on/2017/event/basquiat-boom-for-real",,
333,D3," Kirkham, Pat, ed."," Eva Zeisel: Life, Design, and Beauty",San Francisco: Chronicle Books,2013," ISBN-13: 9781452108520
ISBN-10: 1452108528"," Artist monograph Women artists
Craft and Decorative Arts
Ceramics",,,,
334,D3," Hubert, Bellatrix, ed.",Alice Neel: Freedom,New York: David Zwirner Books,2019," ISBN-13: 9781941701980
ISBN-10: 1941701981"," Artist monograph Exhibition catalogue Women artists
Painting",,https://www.davidzwirner.com/exhibitions/2019/freedom-0,,
335,D3," Haskell, Barbara",Georgia O'Keeffe: Works on Paper,Santa Fe: Museum of New Mexico Press,1985," ISBN-13: 9780890131534
ISBN-10: 0890131538",Artist monograph Exhibition catalogue Women artists,,,,
336,D3," Tipton-Martin, Toni"," The Jemima Code: Two Centuries of African
American Cookbooks",Austin: University of Texas Press,2015," ISBN-13: 9780292745483
ISBN-10: 0292745486"," Cookbooks
African American History",,,,
337,D3," Concept: Chimurenga; Ntone Edjabe, ed.",FESTAC '77: 2nd World Black and African Festival of Arts and Culture,Capetown: Afterall Books,2019," ISBN-13: 9783960984498
ISBN-10: 3960984499"," African Diaspora
African American Art History FESTAC",,https://chimurengachronic.co.za/,,
338,D3," Eckhardt, Sarah L.",Working Together: Louis Draper and the Kamoinge Workshop,Richmond: Virginia Museum of Fine Arts; Durham: Duke University Press,2020," ISBN-13: 9781934351178
ISBN-10: 1934351172"," Exhibition catalogue
African American Art History Photography",," https://vmfa. museum/exhibitions/exhibitions/workin g-together-kamoinge/
https://whitney.
org/exhibitions/kamoinge-workshop",,
339,E2,[Sarah] Cooper & [Nina] Gorfer," Between These Folded Walls, Utopia",Stockholm: Bokförlaget Max Ström,2021," ISBN-13: 9789171265500
ISBN-10: 9171265503"," Photography Artist book Women artists
Signed by Sarah Cooper",,https://www.coopergorfer. com/work/utopia,,
340,D1," Tilton, Connie Rogers and Lindsay
Charlwood, eds.",L.A. Object & David Hammons Body Prints,New York: Tilton Gallery,2007," ISBN-13: 9781427613745
ISBN-10: 1427613745"," Exhibition catalogue
Artist monograph",,,,
341,D1," Ford, Clyde W.",The Hero with an African Face: Mythic Wisdom of Traditional Africa,New York: Bantam Books,1999," ISBN-13: 9780553105445
ISBN-10: 0553105442"," African mythology Religion
Spirituality",,,,
342,D1," Deetz, Kelley Fanto"," Bound to the Fire: How Virginia's Enslaved
Cooks Helped Invent American Cuisine",Lexington: University of Kentucky Press,2017," ISBN-13: 9780813174730
ISBN-10: 0813174732"," African American History
Cooking",,,,
343,D1," Baldwin, James",The Fire Next Time,New York: Vintage,1993," ISBN-13: 9780679744726
ISBN-10: 067974472X"," African American Studies
Essays
Originally published in 1963 by The Dial Press",,,,
344,D1," Northern, Tamara"," Royal Art of Cameroon: The Art of the
Bamenda-Tikar"," Hanover: Hopkins Center Art Galleries,
Dartmouth College",1973,," Exhibition catalogue
African Art",,,,
345,D1," Campt, Tina M.",Listening to Images,Durham: Duke University Press,2017," ISBN-13: 9780822362708
ISBN-10: 0822362708",Photography Photography African Diaspora Visual Culture Black Studies,,,,
346,D1," Camp, Stephanie M. H."," Closer to Freedom: Enslaved Women and
Everyday Resistance in the Plantation South"," Chapel Hill: University of North
Carolina Press",2004," ISBN-13: 9780807855348
ISBN-10: 0807855340"," African American History
Women's Studies",,,,
347,D1," Princenthal, Nancy",Agnes Martin: Her Life and Art,London: Thames & Hudson,2015," ISBN-13: 9780500093900
ISBN-10: 0500093903",Biography Women artists Painting,,,,
348,D1," Perry, Imani"," More Beautiful and More Terrible: The
Embrace and Transcendence of Racial Inequality in the United States",New York: New York University Press,2011," ISBN-13: 9780814767375
ISBN-10: 0814767370",African American Studies,,,,
349,D1," Hadden, Sally E."," Slave Patrols: Law and Violence in Virginia and
the Carolinas",Cambridge: Harvard University Press,2003," ISBN-13: 9780674012349
ISBN-10: 0674012348",African American History,,,,
350,D1," Green, James",The Devil Is Here in These Hills: West Virginia's Coal Miners and Their Battle for Freedom,New York: Grove Press,2016," ISBN-13: 9780802124654
ISBN-10: 0802124658",African American History Labor History,," https://www.pbs. org/wgbh/americanexperience/films/the
minewars/",,
351,D1," Nadeau, Maurice; translated by Richard Howard",The History of Surrealism,Cambridge: Belknap Press,1989," ISBN-13: 9780674403451
ISBN-10: 0674403452",Art History Modern Art,,,,
352,D1," Mujica, Bárbara",Frida,New York: Plume,2002," ISBN-13: 9780452283039
ISBN-10: 0452283035"," Fiction Novel
Women artists",,,,
353,D1," Herrera, Hayden",Frida: A Biography of Frida Kahlo,New York: Perennial,1983," ISBN-13: 9780060911270
ISBN-10: 0060911271"," Biography Women artists Modern art
Painting",,,,
354,D1,Madrazo; Claudia,The Diary of Frida Kahlo: A New Perspective,Mexico City: La Vaca Independiente,2014," ISBN-13: 9786079604295
ISBN-10: 6079604299",Diaries Biography Women artists Painting Modern art,,https://lavacaindependiente.com/frida- kahlo-diario/,,
355,D1," Kettenmann, Andrea"," Frida Kahlo, 1907-1954: Pain and Passion",Cologne: Taschen,2000," ISBN-13: 9783822859834
ISBN-10: 3822859834"," Women artists Modern art
Painting",,,,
356,D1," Goodnough, Robert, ed.",Artists' Sessions at Studio 35 (1950),Revised ed. San Francisco; Chicago: Soberscove Press/Wittenborn Art Books,2011," ISBN-13: 9780982409008
ISBN-10: 0982409001"," Modern Art
Edited transcript of a series of meetings of artists, April 21-23, 1950, New York",,,,
357,C1," Reed, Ishmael",Mumbo Jumbo,New York: Scribner,1996," ISBN-13: 9780684824772
ISBN-10: 0684824779"," African American Literature Fiction
Originally published in 1972 by Doubleday",,,,
358,C1," Kim, Christine Y., ed.",Glenn Ligon: Stranger,New York: Studio Museum in Harlem,2001," ISBN-13: 9780942949193
ISBN-10: 0942949196"," Exhibition catalogue Artist monograph
African American Art History",,,,
359,C1," Glaude Jr., Eddie S.,",Begin Again: James Baldwin's America and Its Urgent Lessons for Our Own,New York: Crown,2020," ISBN-13: 9780525575320
ISBN-10: 0525575324",African American History Civil Rights Movement,,,,
360,C1," Washington, Ethel M.",Union Country's: Black Soldiers and Sailors of the Civil War,Charleston: The History Press,2011," ISBN-13: 9781596294462
ISBN-10: 1596294469",African American History US/American Civil War,,,,
361,C1," Graham, Sandra Jean",Spirituals and the Birth of a Black Entertainment Industry,Urbvana: University of Illinois Press,2018,ISBN-13: 9780252083273 ISBN-10: 025208327X,African American History Music,,,,
362,C1," Wallace, Maurice O."," Constructing the Black Masculine: Identity and Ideality in African American Men's Literature
and Culture, 1775-1995",Durham: Duke University Press,2002," ISBN-13: 9780822328698
ISBN-10: 0822328690"," African American Studies Gender StudiesAfrican American
Literature",,,,
363,C1," Zorach, Rebecca"," Art for People's Sake: Artists and Community in Black Chicago, 1965-1975",Durham: Duke University Press,2019," ISBN-13: 9781478001409
ISBN-10: 1478001402",African American Art History Black Arts Movement Africobra,,,,
364,C3," Als, Hilton and Suzette Lane
McAvoy",Reggie Burrows Hodges,New York: Karma Books,2021," ISBN-13: 978194917256
ISBN-10: 1949172562"," Exhibition catalogue
Painting",," https://karmakarma.
org/exhibitions/reggie-burrows-hodges/",,
365,C1," Massaquoi, Hans J.",Destined to Witness: Growing Up Black in Nazi Germany,New York: Perennial,2001," ISBN-13: 9780060959616
ISBN-10: 0060959614"," Biography Memoir
World War II",,,,
366,C1," Cooney, Kara",When Women Ruled the World: Six Queens of Egypt," Washington, DC: National Geographic",2020,ISBN-13: 9781426220883 ISBN-10: 142622088X," Egypt
African History Women's Studies",,,,
367,C1," Chiu, Melissa and Michelle Yun,
eds.",Nam June Paik: Becoming Robot," New York: Asia Society Museum; New
Haven: Yale University Press",2014," ISBN-13: 9780300209211
ISBN-10: 0300209215"," Exhibition catalogue
Artist monograph Video art",," https://asiasociety.org/new-
york/exhibitions/nam-june-paik- becoming-robot-1",,
368,C1," David, Marlo D.",Mama's Gun: Black Maternal Figures and the Politics of Transgression,Columbus: Ohio State University Press,2016," ISBN-13: 9780814253694
ISBN-10: 0814253695"," Black Studies Cultural Criticism Women's Studies
Motherhood",,,,
369,C1," Nash, Jennifer C."," The Black Body in Ecstasy: Reading Race, Reading Pornography",Durham: Duke University Press,2014," ISBN-13: 9780822356202
ISBN-10: 0822356201"," Film Studies
African American Studies Women's Studies
Black Feminism",,,,
370,C1," Johnson, E. Patrick",Sweet Tea: Black Gay Men of the South: An Oral History,Chapel Hill: University of North Carolina Press,2008," ISBN-13: 9780807872260
ISBN-10: 0807872261"," Oral History
African American Studies Queer Studies",," https://epatrickjohnson. com/performance/sweet-tea/ https://epatrickjohnson. com/performance/put-a-little-honey-in-
my-sweet-tea/",,
371,C1," Johnson, E. Patrick",Honeypot: Black Southern Women Who Love Women,Durham: Duke University Press,2019," ISBN-13: 9781478006534
ISBN-10: 1478006536"," African American Studies Queer Studies
Biography
Creative Nonfiction",,,,
372,C1," Johnson, E. Patrick, ed."," No Tea, No Shade: New Writings in Black Queer Studies",Durham: Duke University Press,2016," ISBN-13: 9780822362425
ISBN-10: 0822362422"," Black Queer Studies Queer Studies
African American Studies",,,,
373,C1," Johnson, E. Patrick"," Black. Queer. Southern. Women.: An Oral
History"," Chapel Hill: University of North
Carolina Press",2018," ISBN-13: 9781469641102
ISBN-10: 1469641100"," Oral History
African American Studies Queer Studies",,,,
374,C1," Sandström, Sigrid and Atopia
Projects, eds.",Grey Hope: The Persitence of Melancholy,Atopia Projects,2006," ISBN-13: 9780954615611
ISBN-10: 0954615611",Anthology,,,,
375,C1," Gossett, Reina, Eric A. Stanley, and Johanna Burton, eds.",Trap Door: Trans Cultural Production and the Politics of Visibility,Cambridge: MIT Press,2017," ISBN-13: 9780262036603
ISBN-10: 0262036606",Gender Studies,,,,
